time,ESR,Prediction,real
803.538,1.0396901,,
805.129,1.0398116,,
812.772,1.0399314,,
814.362,1.0400301,,
817.537,1.0401666,,
819.449,1.0402774,,
823.908,1.0404168,,
828.688,1.0405284,,
831.87,1.040636,,
834.091,1.040748,,
839.488,1.0408516,,
844.265,1.0409725,,
846.497,1.041159,,
853.184,1.0413353,,
856.054,1.0414702,,
862.746,1.0416274,,
868.803,1.0417305,,
874.542,1.0418481,,
876.778,1.041971,,
882.51,1.0420817,,
886.02,1.0421574,,
890.804,1.0422605,,
900.687,1.0423378,,
902.596,1.0424099,,
906.735,1.042534,,
914.708,1.0426313,,
916.303,1.0427449,,
924.597,1.0428693,,
930.968,1.042951,,
935.745,1.0430456,,
942.119,1.0431606,,
943.392,1.0432825,,
946.902,1.043422,,
949.769,1.0435282,,
952.003,1.0436047,,
955.826,1.0436715,,
958.374,1.0437158,,
960.923,1.0437778,,
963.793,1.0438447,,
967.943,1.043909,,
970.491,1.043972,,
978.466,1.0440198,,
983.573,1.0440733,,
988.03,1.0441465,,
991.53,1.0442098,,
997.596,1.0443059,,
1001.1,1.0444127,,
1007.47,1.0444984,,
1010.34,1.3928,,
1010.59,1.393706667,,
1011.7,,2.127705464,1.393773333
1012.81,,3.742090114,1.393773333
1013.92,,4.5722729,1.393773333
1015.02,,4.784586754,1.393826667
1015.44,,4.859646669,1.392880133
1016.13,,4.893588945,1.393893333
1017.24,,4.911241899,1.393893333
1018.35,,4.921186731,1.39396
1019.46,,4.927121691,1.39396
1019.46,,4.930830409,1.394026667
1020.57,,4.933246392,1.394026667
1020.57,,4.934873704,1.394026667
1023.1,,4.935978385,1.3930532
1029.16,,4.936741398,1.393173333
1032.98,,4.937267743,1.393279867
1036.16,,4.937631018,1.39344
1040.3,,4.937900098,1.393613333
1042.53,,4.938127652,1.393733333
1044.14,,4.938348115,1.393813333
1046.05,,4.938592212,1.393746533
1049.88,,4.938882562,1.393746533
1053.39,,4.939217478,1.393773333
1057.22,,4.939583117,1.393813333
1062,,4.939978128,1.39396
1064.87,,4.940384956,1.39408
1071.24,,4.940774903,1.39416
1075.38,,4.941128725,1.394386667
1080.16,,4.941435618,1.394533333
1083.98,,4.941706049,1.394640133
1087.49,,4.941959937,1.3948132
1090.36,,4.9422145,1.39492
1094.49,,4.942481217,1.394973333
1099.59,,4.942777306,1.39516
1103.09,,4.943117286,1.395373333
1107.23,,4.943505208,1.395560133
1111.05,,4.943930604,1.39572
