time,cap,Prediction,real
953.848,1.4315295,,
959.502,1.4312085,,
966.179,1.4310165,,
972.854,1.430889,,
979.275,1.4306535,,
985.951,1.430526,,
992.117,1.4302485,,
999.044,1.430292,,
1004.69,1.4302695,,
1005.46,1.4301,,
1010.17,1.091446875,,
1010.79,1.09153575,,
1011.4,1.0916235,,
1011.62,1.072670625,,
1012.046667,1.0726962,,
1012.473333,1.072721775,,
1012.9,1.07274735,,
1013.326667,1.072772925,,
1013.753333,1.0727985,,
1014.18,1.072824075,,
1014.606667,,1.073555599,1.07284965
1015.033333,,1.073803406,1.072875225
1015.46,,1.073798943,1.0729008
1015.886667,,1.073811212,1.072926375
1016.313333,,1.073841644,1.07295195
1016.74,,1.073845619,1.072977525
1017.166667,,1.073846747,1.0730031
1017.593333,,1.073848021,1.073028675
1018.02,,1.073849486,1.07305425
1018.55,,1.073850417,1.07262225
1023.69,,1.073850883,1.0723185
