time,cap,Prediction,real
816.2,1.4354775,,
822.621,1.4352855,,
829.552,1.435179,,
835.717,1.4349225,,
842.139,1.4346885,,
848.815,1.4345175,,
855.236,1.4343255,,
862.166,1.434261,,
868.075,1.4339835,,
874.241,1.433706,,
881.168,1.4337495,,
886.311,1.433343,,
892.988,1.4331735,,
899.918,1.433109,,
906.594,1.432959,,
913.27,1.432788,,
919.435,1.432554,,
925.345,1.4322555,,
927.91,1.4322975,,
934.331,1.4320635,,
941.007,1.4319135,,
947.427,1.4317215,,
953.848,1.4315295,,
959.502,1.4312085,,
966.179,1.4310165,,
972.854,1.430889,,
979.275,1.4306535,,
985.951,1.430526,,
992.117,1.4302485,,
999.044,1.430292,,
1004.69,1.4302695,,
1005.46,1.4301,,
1010.17,1.09153575,,
1010.79,1.091446875,,
1011.4,,1.088689867,1.0916235
1011.62,,1.087508643,1.072670625
1012.046667,,1.08707144,1.0726962
1012.473333,,1.086948218,1.072721775
1012.9,,1.087124269,1.07274735
1013.326667,,1.087192721,1.072772925
1013.753333,,1.086987835,1.0727985
1014.18,,1.086493231,1.072824075
1014.606667,,1.085914614,1.07284965
1015.033333,,1.085369929,1.072875225
1015.46,,1.085033563,1.0729008
1015.886667,,1.085005337,1.072926375
1016.313333,,1.085085274,1.07295195
1016.74,,1.085074638,1.072977525
1017.166667,,1.084870018,1.0730031
1017.593333,,1.084520403,1.073028675
1018.02,,1.084182419,1.07305425
1018.55,,1.083986742,1.07262225
1023.69,,1.083988374,1.0723185
1029.86,,1.084096669,1.072110375
1036.53,,1.084169055,1.07201475
1042.44,,1.084136936,1.071774
1048.86,,1.08401508,1.07163
1055.29,,1.083878862,1.07147025
1060.94,,1.083806879,1.0712295
1067.87,,1.083809664,1.071309375
1074.03,,1.083860104,1.07110125
1080.71,,1.083902986,1.071005625
1087.13,,1.083915654,1.070830125
1092.53,,1.08388797,1.070573625
1098.95,,1.083844355,1.070397
1105.62,,1.08381137,1.070269875
1112.04,,1.083811277,1.07009325
