time,cap,Prediction,real
301.236,1.096842375,,
305.354,1.096506,,
313.562,1.096601625,,
315.116,1.0961865,,
317.94,1.096169625,,
319.751,1.095753375,,
325.661,1.0955295,,
331.06,1.0952415,,
336.459,1.0949535,,
342.369,1.09471275,,
347,1.0943775,,
353.422,1.094200875,,
357.796,1.0938645,,
363.707,1.093624875,,
369.617,1.093401,,
373.478,1.093048875,,
379.644,1.0928565,,
381.712,1.09244025,,
382.476,1.09258425,,
387.619,1.09229625,,
393.273,1.09203975,,
394.066,1.091399625,,
398.416,1.091736,,
400.9,1.45539,,
401.864,1.4551665,,
401.867,1.455204,,
401.869,1.4552415,,
401.872,1.455279,,
401.875,1.4553165,,
401.878,1.455354,,
401.88,1.4553915,,
402.842,1.455129,,
402.844,1.4551665,,
402.847,,1.455036907,1.455204
402.85,,1.455103903,1.4552415
402.852,,1.455211123,1.455279
402.855,,1.455338866,1.4553165
402.858,,1.455458583,1.455354
403.819,,1.455552612,1.4550915
403.822,,1.455619391,1.455129
403.825,,1.455666687,1.4551665
403.827,,1.455704437,1.455204
403.83,,1.455738586,1.4552415
403.833,,1.455770913,1.455279
409.725,,1.455800332,1.4549865
416.402,,1.455825152,1.4547945
418.982,,1.455844982,1.4542605
419.254,,1.455860125,1.4536845
421.287,,1.455871667,1.4544105
426.43,,1.455880736,1.454004
432.341,,1.455887982,1.4536845
438.507,,1.45589397,1.453407
442.369,,1.455898613,1.4529375
449.298,,1.455902084,1.452894
451.879,,1.455904514,1.4523615
458.808,,1.45590599,1.452318
462.158,,1.455906076,1.4518065
469.088,,1.455906207,1.451721
473.206,,1.455906293,1.4512725
479.117,,1.455906467,1.4509515
482.969,,1.455906467,1.450845
485.027,,1.455906554,1.450653
488.368,,1.45590664,1.450461
494.789,,1.455906684,1.450227
500.188,,1.455906727,1.449864
