time,cap,Prediction,real
363.707,1.093624875,,
369.617,1.093401,,
373.478,1.093048875,,
379.644,1.0928565,,
381.712,1.09244025,,
382.476,1.09258425,,
387.619,1.09229625,,
393.273,1.09203975,,
394.066,1.091399625,,
398.416,1.091736,,
400.9,1.45539,,
401.864,1.4551665,,
401.867,1.455204,,
401.869,1.4552415,,
401.872,1.455279,,
401.875,1.4553165,,
401.878,1.455354,,
401.88,1.4553915,,
402.842,1.455129,,
402.844,1.4551665,,
402.847,,1.456466647,1.455204
402.85,,1.456473417,1.4552415
402.852,,1.456478276,1.455279
402.855,,1.456481097,1.4553165
402.858,,1.456483396,1.455354
403.819,,1.456485262,1.4550915
403.822,,1.456486781,1.455129
403.825,,1.456488126,1.4551665
403.827,,1.456489645,1.455204
403.83,,1.456491945,1.4552415
