time,cap,Prediction,real
925.345,1.4322555,,
927.91,1.4322975,,
934.331,1.4320635,,
941.007,1.4319135,,
947.427,1.4317215,,
953.848,1.4315295,,
959.502,1.4312085,,
966.179,1.4310165,,
972.854,1.430889,,
979.275,1.4306535,,
985.951,1.430526,,
992.117,1.4302485,,
999.044,1.430292,,
1004.69,1.4302695,,
1005.46,1.4301,,
1010.17,1.091446875,,
1010.79,1.09153575,,
1011.4,1.0916235,,
1011.62,1.072670625,,
1012.046667,1.0726962,,
1012.473333,1.072721775,,
1012.9,1.07274735,,
1013.326667,1.072772925,,
1013.753333,1.0727985,,
1014.18,1.072824075,,
1014.606667,,1.072207436,1.07284965
1015.033333,,1.072508216,1.072875225
1015.46,,1.072519678,1.0729008
1015.886667,,1.072210264,1.072926375
1016.313333,,1.071825252,1.07295195
1016.74,,1.071629187,1.072977525
1017.166667,,1.071691725,1.0730031
1017.593333,,1.071846872,1.073028675
1018.02,,1.071837541,1.07305425
1018.55,,1.071528681,1.07262225
1023.69,,1.071024641,1.0723185
1029.86,,1.070620071,1.072110375
1036.53,,1.070738523,1.07201475
1042.44,,1.071347269,1.071774
1048.86,,1.071334067,1.07163
1055.29,,1.07134266,1.07147025
1060.94,,1.071351941,1.0712295
1067.87,,1.071351933,1.071309375
1074.03,,1.071350271,1.07110125
1080.71,,1.071348244,1.071005625
1087.13,,1.071347663,1.070830125
1092.53,,1.071348726,1.070573625
1098.95,,1.071350136,1.070397
