time,cap,Prediction,real
136.824,0.985913,,
141.455,0.985614,,
142.241,0.985216,,
143.78,0.985244,,
145.078,0.98486,,
147.639,0.984988,,
150.476,0.984647,,
150.732,0.984462,,
150.976,0.984404,,
151.22,1.10738925,,
151.463,1.1074545,,
151.463,,1.108201404,1.10738925
151.707,,1.108822934,1.1074545
151.951,,1.109385496,1.10738925
152.195,,1.109922857,1.10738925
152.439,,1.110447294,1.107324
152.683,,1.110961625,1.107324
152.927,,1.111466348,1.107259875
155.362,,1.111959849,1.10740725
158.712,,1.112437728,1.107039375
161.772,,1.112473476,1.107567
