time,cap,Prediction,real
110.302,0.98819,,
114.138,0.988517,,
114.677,0.987891,,
118.026,0.987564,,
123.168,0.987308,,
123.184,0.986923,,
128.838,0.98671,,
129.101,0.986539,,
132.194,0.986198,,
136.824,0.985913,,
141.455,0.985614,,
142.241,0.985216,,
143.78,0.985244,,
145.078,0.98486,,
147.639,0.984988,,
150.476,0.984647,,
150.732,0.984462,,
150.976,0.984404,,
151.22,1.107567,,
151.463,1.1074545,,
151.707,1.10740725,,
151.951,1.10738925,,
152.927,1.107324,,
158.712,1.107259875,,
161.772,1.107039375,,
163.086,1.106703,,
164.128,1.106271,,
168.239,1.106127,,
169.28,,1.106295619,1.105695
173.399,,1.106203305,1.105342875
178.3,,1.106028044,1.10505375
178.798,,1.105813824,1.10462175
183.442,,1.105587821,1.10433375
188.585,,1.105365768,1.10403
188.601,,1.105156172,1.103598
189.108,,1.104962838,1.10375775
190.92,,1.104787173,1.1033415
194.511,,1.104629038,1.10335725
194.525,,1.104487399,1.102973625
199.412,,1.10436078,1.10266875
202.761,,1.104247647,1.102285125
206.367,,1.104146369,1.10191725
211.253,,1.104055487,1.101612375
217.184,,1.103973523,1.10079675
222.563,,1.103899217,1.10108475
227.214,,1.103830174,1.100188125
231.821,,1.103765815,1.100507625
236.686,,1.103776386,1.1008125
238.759,,1.103786392,1.10025225
243.389,,1.10379581,1.099931625
248.276,,1.103804612,1.099627875
253.163,,1.103812739,1.09930725
254.46,,1.10382019,1.098891
255.728,,1.103826856,1.099323
260.358,,1.103832743,1.0990035
266.268,,1.103837823,1.098795375
