time,cap,Prediction,real
60.3634,0.992103,,
64.2256,0.991776,,
64.7691,0.991021,,
66.2842,0.991633,,
69.6338,0.991292,,
74.5202,0.991021,,
78.6385,0.990708,,
82.5002,0.990395,,
85.3372,0.99004,,
90.2242,0.989755,,
94.3419,0.989456,,
94.8837,0.988745,,
98.4596,0.989157,,
100.794,0.988531,,
102.578,0.98883,,
105.928,0.988489,,
106.688,0.988731,,
110.302,0.98819,,
114.138,0.988517,,
114.677,0.987891,,
118.026,0.987564,,
123.168,0.987308,,
123.184,0.986923,,
128.838,0.98671,,
129.101,0.986539,,
132.194,0.986198,,
136.824,0.985913,,
141.455,0.985614,,
142.241,0.985216,,
143.78,0.985244,,
145.078,0.98486,,
147.639,0.984988,,
150.476,0.984647,,
150.732,0.984462,,
150.976,0.984404,,
151.22,1.10738925,,
151.463,1.1074545,,
151.463,,1.107411653,1.10738925
151.707,,1.107450488,1.1074545
151.951,,1.107688584,1.10738925
152.195,,1.10812451,1.10738925
152.439,,1.108539739,1.107324
152.683,,1.108735728,1.107324
152.927,,1.108680413,1.107259875
155.362,,1.108490379,1.10740725
158.712,,1.108318945,1.107039375
161.772,,1.108257219,1.107567
163.086,,1.108304936,1.106703
164.128,,1.10840288,1.106271
168.239,,1.108486976,1.106127
169.28,,1.108525056,1.105695
173.399,,1.108522225,1.105342875
178.3,,1.108503243,1.10462175
178.798,,1.108491039,1.10505375
183.442,,1.108494442,1.10433375
188.585,,1.108508832,1.10403
188.601,,1.108524322,1.103598
189.108,,1.10853349,1.10375775
190.92,,1.108534942,1.1033415
194.511,,1.108531847,1.10335725
194.525,,1.108528503,1.102973625
199.412,,1.108527476,1.10266875
202.761,,1.108528884,1.102285125
206.367,,1.108531334,1.10191725
211.253,,1.108533285,1.101612375
217.184,,1.108534048,1.10079675
222.563,,1.108533828,1.10108475
227.214,,1.10853327,1.100188125
231.821,,1.108532977,1.100507625
236.686,,1.108533153,1.1008125
238.759,,1.108533608,1.10025225
243.389,,1.108534077,1.099931625
248.276,,1.1085344,1.099627875
