time,cap,Prediction,real
363.707,1.093624875,,
369.617,1.093401,,
373.478,1.093048875,,
379.644,1.0928565,,
381.712,1.09244025,,
382.476,1.09258425,,
387.619,1.09229625,,
393.273,1.09203975,,
394.066,1.091399625,,
398.416,1.091736,,
400.9,1.45539,,
401.864,1.4551665,,
401.867,,1.460103178,1.455204
401.869,,1.465073317,1.4552415
401.872,,1.469486879,1.455279
401.875,,1.473429692,1.4553165
401.878,,1.476860925,1.455354
401.88,,1.479801839,1.4553915
402.842,,1.482289274,1.455129
402.844,,1.484375211,1.4551665
402.847,,1.486109811,1.455204
402.85,,1.487534295,1.4552415
402.852,,1.487625807,1.455279
